text_id,title_tl,title_ar,au_id_id,genre_id,perm,permbib,pdf,pg_rng,word_len,source,contrib
21,Kitāb al-Farāgh,كتاب الفراغ,3,Sufism,https://www.worldcat.org/title/828182369,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>al-Imām al-Kharrāz Shaykh al-Fanā’ wa-l-Baqā’</em>. Edited by Mīʿād Sharaf al-Dīn Kīlānī. Beirut: Kitāb Nāshirūn, 2012",0,161-175,2173,OCR,A. Musto
22,Kitāb al-Ḥaqā'iq,كتاب الحقائق,3,Sufism,https://www.worldcat.org/title/828182369,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>al-Imām al-Kharrāz Shaykh al-Fanā’ wa-l-Baqā’</em>. Edited by Mīʿād Sharaf al-Dīn Kīlānī. Beirut: Kitāb Nāshirūn, 2012",0,179-193,2164,OCR,A. Musto
23,Kitāb Ādāb al-Ṣalāt,كتاب آداب الصلاة,3,Sufism,https://www.worldcat.org/title/828182369,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>al-Imām al-Kharrāz Shaykh al-Fanā’ wa-l-Baqā’</em>. Edited by Mīʿād Sharaf al-Dīn Kīlānī. Beirut: Kitāb Nāshirūn, 2012",0,133-135,271,OCR,A. Musto
24,Kitāb Darājāt al-Murīdīn,كتاب دراجات المريدين,3,Sufism,https://www.worldcat.org/title/828182369,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>al-Imām al-Kharrāz Shaykh al-Fanā’ wa-l-Baqā’</em>. Edited by Mīʿād Sharaf al-Dīn Kīlānī. Beirut: Kitāb Nāshirūn, 2012",0,136-139,435,OCR,A. Musto
25,Kitāb al-Ṣidq,كتاب الصدق,3,Sufism,http://www.worldcat.org/oclc/779158823,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>al-Ṭarīq ilā Allāh aw Kitāb al-Ṣidq</em>. Edited by ʿAbd al-Ḥalīm Maḥmūd. Cairo: Dār al-Maʿārif, 1979",0,May-97,14108,OCR,A. Musto
26,Maqāmāt al-Qulūb,مقامات القلوب,4,Sufism,http://www.worldcat.org/oclc/66882781,"al-Nūrī, Abū al-Ḥusayn. <em>Maqāmāt al-Qulūb.</em> edited by Qāsim Samarrā’ī. Bagdad: Maṭbaʿat al-Maʿārif, 1969",0,21-Dec,1929,OCR,A. Musto
27,Kitāb al-Masā'il,كتاب المسائل,5,Sufism,0,"al-Iṣfahānī, Abū Manṣūr. “Kitāb Al-Minhāj Wa-l-Masāʾil Wa-l-Waṣiyya, with Dhikr Maʿānī l-Taṣawwuf.” Edited by Nasrollah Pourjavady. <em>Maʿārif</em> 6/3 (1990)",0,31-34,690,OCR,A. Musto
28,Kitāb al-Waṣiyya,الوصية,5,Sufism,0,"al-Iṣfahānī, Abū Manṣūr. “Kitāb Al-Minhāj Wa-l-Masāʾil Wa-l-Waṣiyya, with Dhikr Maʿānī l-Taṣawwuf.” Edited by Nasrollah Pourjavady. <em>Maʿārif</em> 6/3 (1990)",0,34-40,1474,OCR,A. Musto
29,Kitāb al-Minhāj,كتاب المنهاج,5,Sufism,0,"al-Iṣfahānī, Abū Manṣūr. “Kitāb Al-Minhāj Wa-l-Masāʾil Wa-l-Waṣiyya, with Dhikr Maʿānī l-Taṣawwuf.” Edited by Nasrollah Pourjavady. <em>Maʿārif</em> 6/3 (1990)",0,40-43,752,OCR,A. Musto
30,al-ʿĀlim wa-l-mutaʿallim,العالم والمتعلم,6,Theology,http://www.worldcat.org/oclc/318058865,"Abū Ḥanīfa. al-ʿĀlim wa-l-mutaʿallim wa-yalī-hi risālat abī ḥanīfa ilā ʿUthmān al-Battī. Edited by Muḥammad Zāhid al-Kawtharī. Al-Qahira: Matba`at al-Anwar, 1989",https://archive.org/details/PDF_Abu_Hanifa,Aug-32,7861,OCR,A. Musto
31,al-Risāla ilā ʿuthmān al-battī,الرسالة إلى عثمان البتي,7,Theology,http://www.worldcat.org/oclc/318058865,"Abū Ḥanīfa. al-ʿĀlim wa-l-mutaʿallim wa-yalī-hi risālat abī ḥanīfa ilā ʿUthmān al-Battī. Edited by Muḥammad Zāhid al-Kawtharī. Al-Qahira: Matba`at al-Anwar, 1989",https://archive.org/details/PDF_Abu_Hanifa,34-38,1408,OCR,A. Musto
32,Maqāla fīmā baʿda al-ṭabīʿa,مقالة فيما بعد الطبيعة,10,Philosophy,http://www.worldcat.org/oclc/912379005,"al-Rāzī, Abū Bakr. <em>Rasā’il Falsafiyya</em>. Edited by Paul Kraus. Cairo: Jāmiʿat Fū’ād al-Awwal: Kulliyat al-Adab, 1939",https://ia803101.us.archive.org/11/items/lis_qd109/lis_qd10902.pdf,116-134,4379,OITI,A. Musto
33,Fī al-ʿAql,في العقل,9,Philosophy,http://www.worldcat.org/oclc/882764197,"al-Kindī. <em>Rasā’il al-Kindī al-falsafiyya</em>. Edited by Muḥammad ʿAbd al-Hādī Abū Riḍā. Egypt: Dār al-Fikr al-ʿArabī, 1950",https://shiabooks.net/library.php?id=13023,353-358,660,OITI,A. Musto
34,Kitāb al-Sīra al-falsafiyya,كتاب السيرة الفلسفية,10,Philosophy,http://www.worldcat.org/oclc/912379005,"al-Rāzī, Abū Bakr. <em>Rasā’il Falsafiyya</em>. Edited by Paul Kraus. Cairo: Jāmiʿat Fū’ād al-Awwal: Kulliyat al-Adab, 1939",https://ia803101.us.archive.org/11/items/lis_qd109/lis_qd10902.pdf,97-111,2756,OITI,A. Musto
35,Bustān al-maʿrifa,بستان المعرفة,13,Sufism,http://www.worldcat.org/oclc/50394851,"al-Ḥallāj, Ḥusayn b. Manṣūr. “Bustān al-maʿrifah.” In <em>al-Ḥallāj: al-aʻmāl al-kāmilah</em>, edited by Qāsim Muḥammad ʿAbbās. Beirut: Riyāḍ al-Rayyis, 2002",https://archive.org/details/sufi-works_201905,213-217,694,OCR,A. Musto
36,Mā al-taṣawwuf wa-man al-ṣūfī,ما التصوف ومن الصوفي,11,Sufism,http://www.worldcat.org/oclc/551698977,"al-Sulamī, Abū ʿAbd al-Raḥmān. “Mā al-Taṣawwuf wa-man al-ṣūfī.” In <em>Majmūʿah-i Āsār-i Abū ʿAbd al-Raḥmān Sulamī vol. 3</em>, eds. Nasrollah Pourjavady and Muḥammad Sūrī. Tehran: Markaz-i Nashr-i Dānishgāhī, 1990-2010",https://archive.org/embed/majmua_asr_abu_abd_ar-rahman_Sulamī,327-330,756,OCR,A. Musto
37,Ādāb al-nufūs,آداب النفوس,1,Sufism,http://www.worldcat.org/oclc/1243825398,"al-Muḥāsibī, al-Ḥārith b. Asad. <em>Ādāb al-nufūs</em>. Edited by ʿAbd al-Qādir Aḥmad ʿAṭā. Beirut: Dār al-Jīl, 1984",0,35-198,24715,OITI,A. Musto
38,Risālat al-Mustarshidīn,رسالة المسترشدين,1,Sufism,http://www.worldcat.org/oclc/643652671,"al-Muḥāsibī, al-Ḥārith b. Asad. <em>Risālat al-Mustarshidīn</em>. Edited by ʿAbd al-Fattāḥ Abū Ghudda. Aleppo: Maktab al-Maṭbūʿāt al-Islāmiyya, 1982",https://archive.org/details/risalatmostarchidine,35-183,5309,OITI,A. Musto
39,Kitāb al-Taʿarruf li-Madhhab ahl al-taṣawwuf,كتاب التعرف لمذهب اهل التصوف,19,Sufism,http://www.worldcat.org/oclc/957338330,"al-Kalābādhī, Muḥammad b. Ibrāhīm. <em>al-Taʿarruf li-madhhab ahl al-taṣawwuf</em>. Edited by Aḥmad Shams al-Dīn. Beirut: Dār al-Kutub al-ʿIlmiyya, 2001",0,19-161,28238,OITI,A. Musto
40,Ādāb al-ṣuḥba,آداب الصحبة,11,Sufism,http://www.worldcat.org/oclc/30020458,"al-Sulamī, Abū ʿAbd al-Raḥmān. <em>Ādāb al-Ṣuḥba</em>. Edited by Majdī Fatḥī al-Sayyid. Ṭanṭā: Dār al-Ṣaḥāba li-l-Turāth, 1990",0,37-126,11082,OITI,A. Musto
41,Kitāb Ṭabaqāt al-Ṣūfiyya,كتاب طبقات الصوفية,11,Sufism,http://www.worldcat.org/oclc/164560561,"al-Sulamī, Abū ʿAbd al-Raḥmān. <em>Ṭabaqāt al-Ṣūfiyya: wa-yalīhi dhikr al-niswat al-mutaʿabbidāt al-ṣūfiyyāt</em>. Edited by ʿAbd al-Qādir Aḥmad ʿAṭā. Beirut: Dār al- Kutub al-ʿIlmiyya, 1998",0,20-425,71070,OITI,A. Musto
42,kitāb al-Arbaʿīn,كتاب الأربعين,11,Sufism,http://www.worldcat.org/oclc/255621401,"al-Sulamī. Kitāb al-Arbaʿīn fī al-Taṣawwuf. Hyderabad: Majlis Dāʾirat al-Maʿārif al-ʿUthmānīyah, 1369/1950",0,16-Jan,3609,OITI,A. Musto
43,kitāb al-Arbaʿīn,كتاب الأربعين,15,Sufism,http://www.worldcat.org/oclc/608516511,"Abū Nuʿaym al-Iṣfahānī.<em> Kitāb al-Arbaʿīn ʿalā Madhhab al-Mutaḥaqqiqīn min al-Ṣūfīyah, wa-yalīhi al-Juzʾ al-Khāmis min Kitāb al-Arbaʿīn fī Faḍl al-Duʿāʾ wa-l-Dāʿīn</em>. Edited by Badr b. ʿAbd Allāh b. Badr. Beirut: Dār Ibn Ḥazm, 1414/1993",https://archive.org/details/0396-/mode/2up,19-112,5252,OITI,A. Musto
44,Kitāb al-Zuhd wa-ṣifat al-zāhidīn,كتاب الزهد وصفة الزاهدين,20,Sufism,https://worldcat.org/en/title/957040526,"Ibn al-Aʿrābī. <em>al-Zuhd wa-Ṣifat al-Zāhidīn</em>. Edited by Majdī Fatḥi al-Sayyid Ibrāhīm. Ṭanṭā: Dār al-Ṣaḥābah li-l-Turāth, 1408/1988",0,17-73,8976,OITI,A. Musto
45,Kitāb al-Samāʿ,كتاب السماع,11,Sufism,http://ensani.ir/file/download/article/20101118165443-110.pdf,"Naṣr Allāh Pūrjavādī, ""Dū Athr-i Kuhan dar Samāʿ az Abū ʿAbd al-Raḥmān al-Sulamī va Abū Manṣūr Iṣfahānī "" Maʿārif-i Islāmī 20 (1367^/1989): pp. 291-366, at ",http://ensani.ir/file/download/article/20101118165443-110.pdf,344-355,2801,OCR,A. Musto
46,Faḍl al-taṣawwuf,فضل التصوف,14,Sufism,0,"Fāṭimeh ʿAlāqeh and Kāẓim Bargnīsī, ""Risālah-yi 'Faḍl al-taṣawwuf ʿalā al-madhāhib': taʾlīf Abū ʿAbd Allāh Muḥammad b. Khafīf,"" Maʿārif-i Islāmī 43-44 (1377^/1998)",0,54-80,8167,OCR,A. Musto
47,Maqāla fī al-ʿilm wa-l-muʿjiz,مقالة في العلم والمعجز,21,naṣrāniyya,https://www.worldcat.org/title/57220135,"Abū al-Faraj ʿAbd Allāh b. al-Ṭayyib. ""Maqāla fī al-ʿilm wa-l-muʿjiz.” In <em>Vingt traités théologiques d’auteurs arabes chrétiens, IXe-XIIIe siècle</em>, edited by Louis Cheikho, Louis Malouf, and Constantin Bacha. Beirut: Imprimerie Catholique, 1920",https://archive.org/details/VingtTraitesPhilosophiquesEtApologetiquesDauteursArabesChretiens,179-180,225,OCR,G. DiRusso
